Id,SalePrice
1461,112844.0
1462,165184.0
1463,185970.0
1464,197204.0
1465,209222.0
1466,168810.0
1467,173218.0
1468,158146.0
1469,206860.0
1470,114744.0
1471,154926.0
1472,91304.0
1473,92702.0
1474,145642.0
1475,105810.0
1476,375980.0
1477,262334.0
1478,311736.0
1479,296990.0
1480,488932.0
1481,312160.0
1482,203878.0
1483,177172.0
1484,162368.0
1485,176558.0
1486,187300.0
1487,334556.0
1488,229106.0
1489,202708.0
1490,258682.0
1491,200984.0
1492,105266.0
1493,185640.0
1494,300700.0
1495,289884.0
1496,243742.0
1497,175810.0
1498,175044.0
1499,155292.0
1500,150886.0
1501,200630.0
1502,132330.0
1503,354086.0
1504,232896.0
1505,224182.0
1506,194716.0
1507,258096.0
1508,197786.0
1509,155174.0
1510,142156.0
1511,158868.0
1512,176444.0
1513,152858.0
1514,170738.0
1515,209410.0
1516,155082.0
1517,177874.0
1518,120196.0
1519,217182.0
1520,120514.0
1521,135090.0
1522,189754.0
1523,107732.0
1524,126856.0
1525,116332.0
1526,103432.0
1527,104276.0
1528,134032.0
1529,160772.0
1530,213822.0
1531,130002.0
1532,97394.0
1533,167932.0
1534,127986.0
1535,149852.0
1536,91106.0
1537,49302.0
1538,153970.0
1539,207556.0
1540,110930.0
1541,143518.0
1542,167806.0
1543,186630.0
1544,75354.0
1545,120098.0
1546,136466.0
1547,135574.0
1548,148860.0
1549,124616.0
1550,140652.0
1551,104938.0
1552,154548.0
1553,162466.0
1554,108950.0
1555,157952.0
1556,-3533616999084087.0
1557,135466.0
1558,107976.0
1559,58714.0
1560,116458.0
1561,153018.0
1562,131908.0
1563,132014.0
1564,168138.0
1565,159434.0
1566,227670.0
1567,77164.0
1568,224014.0
1569,138620.0
1570,126554.0
1571,84244.0
1572,150694.0
1573,266840.0
1574,136432.0
1575,234408.0
1576,232800.0
1577,180620.0
1578,158846.0
1579,128902.0
1580,188116.0
1581,153554.0
1582,136304.0
1583,285886.0
1584,219476.0
1585,132708.0
1586,83670.0
1587,105298.0
1588,155310.0
1589,105708.0
1590,123430.0
1591,95162.0
1592,131440.0
1593,130386.0
1594,508487529252004.0
1595,117996.0
1596,231590.0
1597,202646.0
1598,211012.0
1599,194958.0
1600,173704.0
1601,51770.0
1602,127426.0
1603,36746.0
1604,275754.0
1605,227462.0
1606,152250.0
1607,167016.0
1608,201620.0
1609,190312.0
1610,149566.0
1611,127176.0
1612,185762.0
1613,164090.0
1614,139820.0
1615,91350.0
1616,70302.0
1617,81642.0
1618,134612.0
1619,142030.0
1620,174410.0
1621,129568.0
1622,150526.0
1623,251128.0
1624,197502.0
1625,111308.0
1626,168908.0
1627,192846.0
1628,270602.0
1629,175468.0
1630,366788.0
1631,249626.0
1632,251710.0
1633,162192.0
1634,176876.0
1635,172254.0
1636,145062.0
1637,202790.0
1638,180834.0
1639,178170.0
1640,232242.0
1641,183834.0
1642,253530.0
1643,217400.0
1644,231584.0
1645,219570.0
1646,154628.0
1647,150250.0
1648,126180.0
1649,128098.0
1650,105580.0
1651,114394.0
1652,101378.0
1653,98114.0
1654,143532.0
1655,117370.0
1656,141276.0
1657,156814.0
1658,143464.0
1659,123318.0
1660,150054.0
1661,442670.0
1662,388314.0
1663,390242.0
1664,535730.0
1665,336414.0
1666,322034.0
1667,377404.0
1668,360762.0
1669,312234.0
1670,361634.0
1671,269508.0
1672,412622.0
1673,290566.0
1674,249294.0
1675,199814.0
1676,205210.0
1677,220374.0
1678,471600.0
1679,391062.0
1680,344714.0
1681,280174.0
1682,319578.0
1683,192616.0
1684,170924.0
1685,171362.0
1686,157418.0
1687,156374.0
1688,180140.0
1689,187938.0
1690,187100.0
1691,178184.0
1692,253418.0
1693,170696.0
1694,180276.0
1695,164464.0
1696,265604.0
1697,174598.0
1698,340688.0
1699,332720.0
1700,271126.0
1701,275212.0
1702,237322.0
1703,229282.0
1704,269726.0
1705,239762.0
1706,188678.0
1707,224958.0
1708,205484.0
1709,250334.0
1710,220300.0
1711,270998.0
1712,248940.0
1713,281598.0
1714,225810.0
1715,208180.0
1716,185694.0
1717,176138.0
1718,149066.0
1719,226842.0
1720,251548.0
1721,149034.0
1722,112898.0
1723,150190.0
1724,211776.0
1725,240716.0
1726,188536.0
1727,143394.0
1728,148548.0
1729,176518.0
1730,167158.0
1731,109742.0
1732,131100.0
1733,119474.0
1734,124776.0
1735,85994.0
1736,88296.0
1737,288960.0
1738,266218.0
1739,246494.0
1740,221452.0
1741,191082.0
1742,175194.0
1743,169474.0
1744,366032.0
1745,221854.0
1746,193608.0
1747,222466.0
1748,228974.0
1749,129114.0
1750,131092.0
1751,231528.0
1752,106034.0
1753,156202.0
1754,200568.0
1755,167682.0
1756,138798.0
1757,117584.0
1758,147016.0
1759,161522.0
1760,155894.0
1761,158938.0
1762,186444.0
1763,186020.0
1764,107532.0
1765,184590.0
1766,185242.0
1767,231594.0
1768,140692.0
1769,156930.0
1770,147844.0
1771,119134.0
1772,136730.0
1773,110188.0
1774,156394.0
1775,132936.0
